,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range
2016,POINT (36.01795131677221 0.121272563356135),0,279.0,62.284477,14.741667,84.2381,918.0,41.001556,20.616667,131.0,113.0,20.566666,21.116667,20.304167,25.0,309.0,12.0,234.0,19.55,29.5,17.5
2017,POINT (39.81782496859778 -2.38502707933733),0,138.0,126.58091,7.9333334,67.23164,737.0,51.106335,26.466667,113.0,98.0,27.316666,27.466667,26.05,13.0,268.0,20.5,177.0,24.383333,32.3,11.799999
2018,POINT (35.45201268777691 3.031814083903384),0,66.0,57.577385,13.733334,87.47346,283.0,62.837753,29.166668,59.0,29.0,28.483334,29.25,28.666666,8.0,131.0,20.7,98.0,28.083334,36.4,15.700001
2019,POINT (37.79661557932886 3.274359210615655),0,15.0,125.16278,10.891666,71.18736,366.0,92.37148,25.083334,100.0,15.0,22.883333,26.166666,24.454166,3.0,183.0,17.3,76.0,22.883333,32.6,15.299999
2020,POINT (37.47322207704583 0.848907943492947),0,15.0,70.8859,12.175,83.39041,605.0,98.50415,22.983334,147.0,15.0,21.45,23.05,22.195833,4.0,279.0,15.2,247.0,21.45,29.8,14.599999
2021,POINT (40.46461197316384 3.355207586186412),0,3.0,127.89078,11.083333,71.9697,306.0,119.41257,26.85,97.0,3.0,24.35,27.616665,25.933332,0.0,162.0,19.2,37.0,24.35,34.6,15.399998
2022,POINT (39.413583090744 -1.091453070205219),0,21.0,133.10042,10.225,71.006935,480.0,99.59086,27.866667,124.0,21.0,25.6,28.95,27.429167,3.0,246.0,20.5,161.0,25.6,34.9,14.400002
2023,POINT (40.060370095310056 -2.789268957191115),0,211.0,121.86292,7.541667,66.74041,933.0,65.62228,25.683332,206.0,78.0,26.85,27.066668,25.6625,10.0,429.0,20.4,187.0,24.083334,31.7,11.300001
2024,POINT (38.524250959465675 -2.223330328195816),0,18.0,142.00671,9.55,67.73049,662.0,103.4365,25.383333,170.0,18.0,22.9,26.466667,24.875,5.0,349.0,18.1,230.0,22.9,32.2,14.1
2025,POINT (34.481832180927825 -0.040424187785379),0,352.0,65.45153,11.908333,83.861496,1669.0,43.335373,22.066666,274.0,249.0,22.316668,22.55,21.795834,58.0,662.0,15.0,295.0,20.9,29.2,14.200001
