,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1
651,POINT (36.91928453006614 -1.206698158141658),0,285.5779554578993,292.33159733154696,300.3617876900567,0.06059689946298098,84239.57342527005,-1.6544640295456303,-0.058039200239970036,-0.5142156527974678,285.8681213399211,0.2139480449813647,294.21215752939935
652,POINT (36.786643183248046 -1.123049791738494),0,283.63844797346326,290.44013489974986,297.9208356009589,0.07007294647221064,81757.87633487079,-1.4428537475118859,-0.06259951479862341,-0.41435549729401666,285.0094965515407,0.3072647740013761,291.295358107159
653,POINT (36.80426092153748 -0.993639397472085),0,282.7927933798896,289.8008099371371,297.500580045912,0.07973545202189977,81105.53959615395,-1.1456964506909233,-0.07065298357823242,-0.360891265352838,284.82673742511514,0.39253955455427614,290.6808162228912
654,POINT (36.55800193935677 -1.25336092853309),0,285.04712125990125,291.5329955289578,299.33173253801135,0.06557884892274236,81632.54175024669,-1.8065031876271038,-0.06088983264311941,-0.18523800331650267,284.4204508962446,0.31222589653732374,292.84437839618937
655,POINT (36.84559313426135 -1.063363518955768),0,283.63844797346326,290.44013489974986,297.9208356009589,0.07007294647221064,81757.87633487079,-1.4428537475118859,-0.06259951479862341,-0.41435549729401666,285.0094965515407,0.3072647740013761,291.295358107159
656,POINT (36.64426061600143 -1.185102100115105),0,284.2423967785305,290.523394585214,298.1459626091851,0.06511701050764285,80753.96323712064,-1.7482793113315727,-0.060474219182247504,-0.2893475004931589,284.19966839307716,0.3587904687819835,291.4488045684385
657,POINT (36.86973325502175 -1.11335650308873),0,285.1510508855184,291.7734358826936,299.6365853415595,0.07084281160218148,83955.9895088105,-1.3271911875335147,-0.06614908986699043,-0.5027385322456785,286.0678202676564,0.2501711398486654,292.62841192042123
658,POINT (36.556308151500325 -1.171645401746713),0,284.39667871263293,290.91830755465867,298.62940258449976,0.0701570535413023,81023.76962969525,-1.7195627238710771,-0.06320346307863171,-0.1333643460580895,284.4464486355413,0.2935394554359439,292.61946285874296
659,POINT (37.161559015561664 -1.109425253019907),0,285.5581574969822,292.7664018640837,300.7833185195923,0.07532417569548848,85280.28900828044,-1.0328320078637692,-0.07081740567486526,-0.4483709160107144,286.42012167226613,0.22620994317375212,294.88627231349614
660,POINT (40.121175433618966 -2.970783336277766),0,296.5016269683838,299.32182822779214,302.78725719451904,0.07293886771251058,100714.47811568507,-1.5274017437312872,-0.08187850586707807,3.492889559038804,295.2412149871541,0.14822336803633773,301.1611286432008
