,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1
327,POINT (40.788005475446866 3.436055961757169),0,293.0767584906684,299.37954226431543,306.5129907396105,0.03911571362191732,94313.15205542346,-0.6015663120720616,-0.03657180676883501,2.2347820288317397,288.41862929208276,0.2173122252695378,302.17871661565056
328,POINT (35.04777080992313 -1.495694948059003),0,286.7132019466824,294.7011126817534,303.87208514743384,0.05897047015974219,84787.82963586066,-1.218810602761787,-0.05730864835075206,-0.005436933961887053,285.4594846985176,0.29005976890994134,297.15635995868115
329,POINT (34.80522568321086 0.444666065639163),0,285.9981231689453,293.46248077801977,301.86291821797687,0.10136080204438132,84753.00166190014,-0.36470524265994897,-0.08890599274956104,0.11898330692944414,287.32681862746836,0.3241232846957651,294.33486383581453
330,POINT (38.68594771060719 3.031814083903384),0,293.85196166568335,300.30338156255533,307.6622665193346,0.03126388117910387,94848.40817003085,-2.861689824910433,-0.030728644697875198,2.583364246812784,288.54637830503475,0.15647878436256468,303.6665108776869
331,POINT (35.04777080992313 1.657391699200517),0,289.6971559524536,296.54355334148875,304.23216332329645,0.11630692200767626,87288.7792021769,-0.9686515043483763,-0.08318185905227438,-0.4042511007016849,287.0684327871302,0.2726800112840672,297.82106198448116
332,POINT (35.20946756106464 -0.687211192351434),0,284.8427924050225,291.45898916984356,299.1656202740139,0.14171016316893328,81540.60947075012,-0.7759954473436212,-0.10783307451573718,0.34539864137870974,285.8809364505755,0.3973762178168189,293.0566828165626
333,POINT (35.04777080992313 4.567933219747766),0,296.3646477593316,303.71033621342235,311.0446128845215,0.04652264799334237,96336.50253242563,-2.1989647901721354,-0.04609214458226537,1.6228804204753084,290.0178448478798,0.1280662582283575,306.13878410250413
334,POINT (36.01795131677221 1.172301445775975),0,290.24495156606037,297.78495523437624,305.80501482221814,0.0687328387386199,88152.98750296874,-0.4599159718274405,-0.06637034193974817,0.11365042602302482,286.22373617498624,0.15839523746053039,300.8592425758641
335,POINT (40.54546034873459 -0.28296931449765),0,295.5411904652913,301.3370212818496,309.2322431140476,0.02617409651717506,99591.4192884857,-1.330448080318223,-0.025809578597545624,2.861785646699,292.41961547575914,0.11530365188372553,305.1633600429261
336,POINT (40.54546034873459 0.687211192351434),0,295.8484929402669,302.2321186411454,309.89748732248944,0.020584584340363365,99836.8195482234,-1.4523953043823878,-0.02008497482812446,2.7708749322401993,291.6755749545454,0.14075903614722707,305.757602056331
337,POINT (38.524250959465675 3.355207586186412),0,292.1813388400608,299.27559668697063,306.99249193403455,0.036082159336980474,93439.87001154963,-3.0515457884944235,-0.03510817816843175,1.806389822495172,287.7929557503334,0.13396991336232925,302.2628450901776
338,POINT (40.788005475446866 -0.121272563356135),0,295.61223867204455,301.5666780680155,309.5806891123454,0.0245056906428532,99881.47387314546,-1.360412834987435,-0.024213518320013665,2.8296474967172833,292.4733606811898,0.13068805551746557,304.77534626912035
339,POINT (36.58388994576751 -0.848907943492948),0,279.67924976348877,286.74793135083763,293.770849969652,0.1134138765665322,75724.97047293237,-1.174845232758413,-0.08161142311938521,0.24992786381449916,282.49976988279053,0.3609573693281512,287.53988656368387
340,POINT (38.03916070604113 2.223330328195815),0,292.0731563568115,298.113401366384,304.9311771392822,0.030014782701425706,91758.92040235545,-3.038943254563807,-0.029366834212042805,2.2000903568757675,287.77301614461885,0.1727203703084285,299.57856754120155
341,POINT (36.26049644348448 0.52551444120992),0,285.92451837327746,292.67713398219234,300.5242573420207,0.11703025174256128,82244.73190823135,-1.2242113404067958,-0.09242094890214503,0.3330325245693306,284.86309645790317,0.29879218187735157,295.16752287907656
342,POINT (36.01795131677221 0.040424187785378),0,285.3240625593397,293.52167993113187,301.7390901777479,0.08021285682121213,83913.64027116117,0.2179376264214863,-0.07242320349258888,-0.1407649405500492,285.1563626541682,0.2566571367902896,295.1154631590943
343,POINT (38.92849283731946 -1.57654332362976),0,294.4221690495809,300.0975436136405,308.0565068986681,0.034076944947980796,97416.25386308554,-1.205690772071011,-0.033801676330363586,2.252683573171621,291.1775433465755,0.1684917420384177,302.63474449855835
344,POINT (38.68594771060719 -1.738240074771274),0,293.6863915125529,299.63543325796695,307.7036548190647,0.04004587519946326,96451.93814617688,-1.1909571161343626,-0.03982216910743672,1.9278295494640116,290.7573238619737,0.15478628639088943,302.3782519655568
345,POINT (36.50304157019675 -1.495694948059003),0,287.65868303510877,295.7615962360148,304.0095329284668,0.051953491105297823,87276.22331732215,-1.4494191671689312,-0.050292714039743364,0.09425812652864445,286.646168752483,0.18260546724365245,298.2976445530546
346,POINT (36.826435072479775 -1.091453070205219),0,283.63844797346326,290.44013489974986,297.9208356009589,0.07007294647221064,81757.87633487079,-1.4428537475118859,-0.06259951479862341,-0.41435549729401666,285.0094965515407,0.3072647740013761,291.295358107159
347,POINT (40.70715709987611 -0.121272563356135),0,295.54748280843097,301.53609323118724,309.5280350579156,0.02463551871717932,99723.2543445592,-1.353360091018355,-0.02437102257843233,2.82713585619387,292.3483103233496,0.12982061175962828,304.78277534115955
348,POINT (40.868853851017626 3.193510835044898),0,293.36980459425183,299.8261256733656,306.9933043585883,0.033698781933959615,95179.04984814575,-0.674634625233196,-0.03207593892390529,2.264652889013271,288.7407939209113,0.15027165226983924,302.3890299816971
349,POINT (38.20085745718265 0.121272563356135),0,293.1598678165012,299.43832850900014,306.9565715789795,0.038941603642695104,94866.88974233424,-0.6846989128136127,-0.03757304755789745,1.7056906498738116,289.6058364380371,0.18779724336819598,301.47985528289763
350,POINT (34.88607405878161 2.789268957191114),0,292.1740482118395,299.1047895209654,306.3784056769477,0.05543227413287721,90643.13505138806,-1.7371560075336252,-0.053335486587861344,-0.27574963932030666,288.2452926681119,0.12451365247512035,302.5431037722507
351,POINT (39.89867334416854 -2.546723830478843),0,295.28243403964575,299.7067257933486,306.66518539852564,0.04858871360238356,99858.45030468462,-1.0665144922117984,-0.04747928970674467,2.275646367902732,294.0302733492201,0.16249969382893825,302.20669495661747
352,POINT (40.54546034873459 -1.253149821346732),0,295.64220756954614,300.8437187140428,308.46664799584283,0.03620595828765924,100361.01038990318,-1.1457513411340634,-0.03550474464039629,2.5237897846731796,293.4879197763503,0.15385638769952617,303.70736722646706
353,POINT (39.09018958846097 1.172301445775975),0,295.5766254001194,301.937138058657,309.0013951195611,0.023997580603917063,98377.38574002603,-2.3731883442208392,-0.02356948058715918,3.7711896781105585,290.38342778345975,0.13675567001179242,305.3263729821839
354,POINT (38.524250959465675 1.657391699200517),0,295.3089143964979,301.7835215384333,308.77284177144367,0.02984680579179819,97410.05422282113,-2.9791435020137147,-0.028946689116613317,3.208465856088318,289.81884006729547,0.15481116060689967,305.2856965125031
355,POINT (38.68594771060719 -2.870117332761871),0,292.9816089206272,299.0942718250734,307.4219738642375,0.036687931793341656,96471.82112497567,-1.2943166902426069,-0.036388433622455016,1.8594448172174947,291.0772797073322,0.1122505250500701,301.82934688475757
356,POINT (40.46461197316384 -1.172301445775975),0,295.60311285654706,300.9100037025657,308.61085573832196,0.03452317579371362,100304.98815389769,-1.1602909429273334,-0.033935753350508295,2.5515719248013595,293.38267703794156,0.14860550743867626,303.95571292866805
357,POINT (36.826435072479775 -0.363817690068406),0,279.79929701487225,286.9461088316237,294.05208036634656,0.08742782263738541,76827.49813726763,-0.6989797102006681,-0.0766173476844819,0.88214369811203,282.7926605525419,0.40491462626840613,287.7201725608388
358,POINT (40.22206684645157 3.67860108846944),0,291.87630981869165,298.63806974555246,305.98532337612573,0.04501607116137242,93150.725636292,-1.024308210844112,-0.042025228845886886,2.1339628931115113,287.8980407612865,0.16925229965520605,301.55122892726126
359,POINT (39.81782496859778 -2.061633577054302),0,295.3106404410468,300.6053770418582,308.26683786180286,0.034209439243617606,100230.27668745125,-1.1958918985466584,-0.03389848509363623,2.484630125645419,293.44626169784385,0.14896573339859837,303.59125232897367
