,lat,lon,Date,search_state,species,Year,Month_of_year,YearMonth,Week_of_year,geometry
168,-4.3881297,39.3554756,01/11/2018,Kwale,FAW,2018,11,2018-11,44,POINT (39.3554756 -4.3881297)
169,-0.51003,37.52088,17/12/2018,Embu,FAW,2018,12,2018-12,51,POINT (37.52088 -0.51003)
170,-0.4680417,37.5542852,04/01/2019,Embu,FAW,2019,1,2019-01,1,POINT (37.5542852 -0.4680417)
171,-1.3731049,36.6716202,28/01/2019,Kajiado County,FAW,2019,1,2019-01,5,POINT (36.6716202 -1.3731049)
172,-0.1169002,34.9515237,15/05/2019,Kisumu County,FAW,2019,5,2019-05,20,POINT (34.9515237 -0.1169002)
173,-0.5692796,36.9630065,03/06/2019,Nyeri,FAW,2019,6,2019-06,23,POINT (36.9630065 -0.5692796)
174,-1.0623482,34.4097408,04/06/2019,Migori County,FAW,2019,6,2019-06,23,POINT (34.4097408 -1.0623482)
175,-1.460546,36.6571219,24/06/2019,Kajiado County,FAW,2019,6,2019-06,26,POINT (36.6571219 -1.460546)
176,-0.104757957,36.16258509,27/06/2019,Nakuru,FAW,2019,6,2019-06,26,POINT (36.16258509 -0.104757957)
177,-0.2620656,36.1859321,31/07/2019,Nakuru,FAW,2019,7,2019-07,31,POINT (36.1859321 -0.2620656)
178,-1.28308,36.7267,13/11/2019,Nairobi County,FAW,2019,11,2019-11,46,POINT (36.7267 -1.28308)
179,-0.2919372,34.9463557,09/01/2020,Kisumu County,FAW,2020,1,2020-01,2,POINT (34.9463557 -0.2919372)
180,1.060122782,35.2871809,09/06/2020,Elgeyo-Marakwet County,FAW,2020,6,2020-06,24,POINT (35.2871809 1.060122782)
181,-0.6263974,37.2595903,21/11/2019,Kirinyaga County,FAW,2019,11,2019-11,47,POINT (37.2595903 -0.6263974)
182,-0.57318,37.32643,07/11/2019,Kirinyaga County,FAW,2019,11,2019-11,45,POINT (37.32643 -0.57318)
183,-0.2574188,34.9659927,07/11/2019,Kisumu County,FAW,2019,11,2019-11,45,POINT (34.9659927 -0.2574188)
184,-0.9189462,34.526702,24/10/2019,Migori County,FAW,2019,10,2019-10,43,POINT (34.526702 -0.9189462)
185,-0.605488,37.46312,18/10/2019,Kirinyaga County,FAW,2019,10,2019-10,42,POINT (37.46312 -0.605488)
186,-1.0651551,34.4525769,01/10/2019,Migori County,FAW,2019,10,2019-10,40,POINT (34.4525769 -1.0651551)
187,-0.115301,36.2225,22/07/2019,Nyandarua,FAW,2019,7,2019-07,30,POINT (36.2225 -0.115301)
188,-0.1793386,34.932228,11/07/2019,Kisumu County,FAW,2019,7,2019-07,28,POINT (34.932228 -0.1793386)
189,1.02874,35.12113,17/06/2019,Trans-Nzoia County,FAW,2019,6,2019-06,25,POINT (35.12113 1.02874)
190,-1.1165778,34.3491987,18/06/2019,Migori County,FAW,2019,6,2019-06,25,POINT (34.3491987 -1.1165778)
191,-1.1260291,34.544012,04/06/2019,Migori County,FAW,2019,6,2019-06,23,POINT (34.544012 -1.1260291)
192,0.1865098,34.1957768,27/05/2019,Siaya County,FAW,2019,5,2019-05,22,POINT (34.1957768 0.1865098)
193,0.6426725,34.9473893,22/05/2019,Kakamega County,FAW,2019,5,2019-05,21,POINT (34.9473893 0.6426725)
194,0.9366649,34.8377534,23/05/2019,Trans-Nzoia County,FAW,2019,5,2019-05,21,POINT (34.8377534 0.9366649)
195,-0.0978012,34.2749779,15/05/2019,Siaya County,FAW,2019,5,2019-05,20,POINT (34.2749779 -0.0978012)
196,-0.1795243,36.1289084,31/01/2019,Nakuru,FAW,2019,1,2019-01,5,POINT (36.1289084 -0.1795243)
197,-0.0671556,34.8121986,11/01/2019,Kisumu County,FAW,2019,1,2019-01,2,POINT (34.8121986 -0.0671556)
198,-0.6801384,37.6488487,31/12/2018,Embu,FAW,2018,12,2018-12,1,POINT (37.6488487 -0.6801384)
