lat,lon,Date,search_state,species
0.8954016,34.9718332,2018-06-30,Trans-Nzoia County,FAW
-0.086941,37.660762,2019-04-09,Meru County,FAW
-1.1703427,36.8581619,2019-07-11,Kiambu,FAW
-3.435655,39.896304,2021-05-31,Kilifi County,FAW
0.530457,34.540204,2021-05-20,Bungoma County,FAW
0.585278,34.247075,2019-05-21,Busia County,FAW
0.544665,34.262594,2019-08-27,Busia County,FAW
0.536165,34.25831,2019-08-22,Busia County,FAW
0.406816,34.140002,2019-11-11,Busia County,FAW
-0.285512,36.067425,2019-12-17,Nakuru,FAW
0.499269,34.288866,2019-10-08,Busia County,FAW
0.2846143,34.7535775,2018-04-05,Kakamega County,FAW
0.536165,34.25831,2019-09-03,Busia County,FAW
0.544665,34.262594,2019-08-22,Busia County,FAW
0.9087637,34.9353294,2018-07-07,Trans-Nzoia County,FAW
0.602632,34.36764,2019-05-25,Busia County,FAW
-0.2852391,36.0696756,2019-02-12,Nakuru,FAW
0.499269,34.288866,2019-09-18,Busia County,FAW
0.551105,34.261607,2019-08-29,Busia County,FAW
-1.258074,36.772577,2019-12-09,Nairobi County,FAW
-3.423791,39.900172,2021-05-19,Kilifi County,FAW
0.499269,34.288866,2019-09-18,Busia County,FAW
1.081874,34.8247396,2018-06-29,Trans-Nzoia County,FAW
0.452256,34.352027,2019-05-16,Busia County,FAW
0.4831488,37.6090933,2019-05-08,Meru County,FAW
0.575923,34.57597,2021-05-04,Bungoma County,FAW
0.551105,34.261607,2019-09-06,Busia County,FAW
-0.28523,36.069665,2019-02-14,Nakuru,FAW
0.499269,34.288866,2019-09-26,Busia County,FAW
0.544665,34.262594,2019-08-23,Busia County,FAW
0.499269,34.288866,2019-10-03,Busia County,FAW
0.357372,34.26213,2021-10-19,Busia County,FAW
1.0951204,34.7854537,2018-07-06,Trans-Nzoia County,FAW
-1.2580011,36.7726234,2018-06-26,Nairobi County,FAW
0.1490446,36.272508,2018-08-08,Nakuru,FAW
0.497642,34.141509,2021-05-27,Busia County,FAW
-3.897663,39.770448,2021-07-01,Kilifi County,FAW
0.709391,34.381132,2019-08-28,Busia County,FAW
-3.202971,39.962784,2021-03-16,Kilifi County,FAW
0.536165,34.25831,2019-09-02,Busia County,FAW
0.278744,34.131809,2021-05-17,Busia County,FAW
0.499269,34.288866,2019-09-18,Busia County,FAW
-3.892193,39.773143,2021-07-09,Kilifi County,FAW
0.499269,34.288866,2019-09-25,Busia County,FAW
0.544665,34.262594,2019-09-03,Busia County,FAW
0.583829,34.26234,2019-05-24,Busia County,FAW
0.634052,34.28713,2019-05-29,Busia County,FAW
0.536165,34.25831,2019-09-03,Busia County,FAW
0.422932,34.266297,2019-09-10,Busia County,FAW
0.585278,34.247075,2019-05-21,Busia County,FAW
1.0062866,35.0279743,2018-09-18,Trans-Nzoia County,FAW
0.40644,34.195429,2021-05-04,Busia County,FAW
0.544665,34.262594,2019-08-27,Busia County,FAW
0.536165,34.25831,2019-09-10,Busia County,FAW
-0.285377,36.070058,2019-12-17,Nakuru,FAW
-3.418004,39.902099,2021-07-08,Kilifi County,FAW
0.499269,34.288866,2019-09-18,Busia County,FAW
0.075945,35.745971,2021-11-30,Baringo,FAW
-0.285264,36.0697735,2019-02-12,Nakuru,FAW
0.499269,34.288866,2019-10-01,Busia County,FAW
-1.5315163,37.2611855,2019-06-11,Machakos County,FAW
0.519829,34.257576,2021-06-17,Busia County,FAW
-0.8499149,35.3971826,2018-07-06,Bomet,FAW
0.586881,34.330863,2019-05-22,Busia County,FAW
0.59965185,34.62075094,2019-03-26,Bungoma County,FAW
-3.221059,39.996472,2021-05-25,Kilifi County,FAW
-1.5682105,37.0770931,2019-04-03,Machakos County,FAW
0.559707,34.285352,2019-05-22,Busia County,FAW
0.619419,34.340578,2019-09-26,Busia County,FAW
-0.2844022,36.0694287,2019-02-12,Nakuru,FAW
-0.0869941,37.6630762,2019-04-09,Meru County,FAW
1.083059,34.8487923,2018-07-13,Trans-Nzoia County,FAW
0.511629,34.146414,2019-09-16,Busia County,FAW
-0.285917,36.07023,2019-12-17,Nakuru,FAW
0.499269,34.288866,2019-10-08,Busia County,FAW
0.634052,34.28713,2019-05-29,Busia County,FAW
0.504638,34.138156,2019-09-25,Busia County,FAW
-3.24727,40.02471,2021-05-31,Kilifi County,FAW
0.460806,34.105662,2021-01-06,Busia County,FAW
0.596125,34.575545,2021-05-24,Bungoma County,FAW
0.544665,34.262594,2019-08-20,Busia County,FAW
0.544665,34.262594,2019-09-04,Busia County,FAW
-3.264196,40.051294,2021-05-26,Kilifi County,FAW
0.462374,34.108853,2019-05-20,Busia County,FAW
-0.794748,35.4120332,2018-08-31,Bomet,FAW
-0.7756688,35.4638582,2019-01-25,Bomet,FAW
0.536165,34.25831,2019-09-10,Busia County,FAW
0.592494,34.575733,2021-05-20,Bungoma County,FAW
0.499269,34.288866,2019-09-17,Busia County,FAW
-3.423791,39.900172,2021-05-12,Kilifi County,FAW
0.464113,34.104331,2019-08-22,Busia County,FAW
0.742881,34.769073,2021-06-28,Bungoma County,FAW
-3.220196,39.993906,2021-05-18,Kilifi County,FAW
-3.332285,40.00566,2021-05-20,Kilifi County,FAW
-2.854301,40.149244,2022-06-27,Kilifi County,FAW
0.551105,34.261607,2019-08-07,Busia County,FAW
0.695431,34.383592,2019-08-20,Busia County,FAW
-3.425546,39.904669,2021-05-06,Kilifi County,FAW
0.499269,34.288866,2019-09-13,Busia County,FAW
0.544665,34.262594,2019-09-04,Busia County,FAW
0.535852,34.269075,2020-04-28,Busia County,FAW
0.499269,34.288866,2019-10-09,Busia County,FAW
-1.5290018,37.2628393,2019-06-12,Machakos County,FAW
0.499269,34.288866,2019-09-25,Busia County,FAW
0.511629,34.146414,2019-09-18,Busia County,FAW
-3.354173,39.922783,2021-05-27,Kilifi County,FAW
0.352368,34.177356,2020-10-23,Busia County,FAW
0.499269,34.288866,2019-09-18,Busia County,FAW
0.499269,34.288866,2019-10-04,Busia County,FAW
0.499269,34.288866,2019-09-26,Busia County,FAW
0.464761,34.102925,2019-08-20,Busia County,FAW
0.697794,34.350563,2019-10-09,Busia County,FAW
-3.209334,39.963426,2021-03-16,Kilifi County,FAW
0.464761,34.102925,2019-08-21,Busia County,FAW
0.504638,34.138156,2019-09-16,Busia County,FAW
0.5991302,34.6212566,2019-03-27,Bungoma County,FAW
0.544665,34.262594,2019-09-03,Busia County,FAW
-0.288116,36.070484,2019-12-17,Nakuru,FAW
-3.266117,40.047128,2021-05-26,Kilifi County,FAW
0.545441,34.263172,2019-09-11,Busia County,FAW
-3.435616,39.896317,2021-06-16,Kilifi County,FAW
0.545441,34.263172,2019-09-11,Busia County,FAW
0.593942,34.575247,2021-06-10,Bungoma County,FAW
0.464761,34.102925,2019-09-09,Busia County,FAW
0.709391,34.381132,2019-08-28,Busia County,FAW
