,geometry,class,tavg,prec,tmax,tmin,vapr,wind
1654,POINT (38.443402583894915 -0.52551444120992),0,23.566666,45.75,28.866669,18.258333,1.9891666,2.4083335
1655,POINT (38.8476444617487 -2.708420581620357),0,25.500002,71.0,30.441666,20.566668,2.2141664,2.5083334
1656,POINT (38.92849283731946 2.304178703766572),0,26.791666,26.416666,32.475002,21.116667,2.0491667,2.5416667
1657,POINT (37.06898019919205 -0.363817690068406),0,17.34167,89.083336,23.575003,11.133332,1.4416667,2.7416668
1658,POINT (36.179648067913725 -0.202120938926893),0,15.45,82.333336,22.316668,8.575,1.2916666,2.3249998
1659,POINT (38.36255420832416 2.546723830478843),0,25.800001,26.666666,31.150002,20.449999,1.9725002,2.3416667
1660,POINT (35.85625456563069 -1.899936825912788),0,17.300001,76.833336,22.816668,11.766667,1.3366667,2.625
1661,POINT (39.57527984188552 1.819088450342031),0,27.775,26.916666,33.50833,22.074999,2.11,2.5583336
1662,POINT (35.290315936635395 0.202120938926892),0,17.133333,106.166664,23.450003,10.8166685,1.3433334,2.408333
1663,POINT (34.80522568321086 0.687211192351434),0,19.583336,126.666664,25.941666,13.208333,1.6008334,2.1833332
1664,POINT (35.12861918549388 -0.121272563356135),0,22.458336,102.0,29.074999,15.816667,1.73,2.3
1665,POINT (38.2817058327534 -3.840297839610955),0,22.308332,58.583332,27.649996,16.975,1.9741665,3.1083336
1666,POINT (40.62630872430535 -1.495694948059003),0,27.483332,48.916668,31.591667,23.358332,2.5608335,2.95
1667,POINT (37.47322207704583 1.819088450342031),0,25.316666,31.166666,31.500002,19.116667,1.9383334,2.5083334
1668,POINT (39.65612821745627 2.142481952625058),0,27.425001,26.5,32.94166,21.883333,2.0816667,2.6250002
1669,POINT (39.89867334416854 -1.172301445775975),0,27.608335,37.166668,32.399998,22.824999,2.4225,2.3999999
1670,POINT (37.79661557932886 -3.112662459474143),0,22.341667,57.833332,28.275002,16.433332,1.8933331,2.8999999
1671,POINT (41.19224735330065 -1.33399819691749),0,27.266668,47.916668,31.025002,23.516668,2.6008334,3.091667
1672,POINT (37.95831233047038 2.223330328195815),0,21.875,41.333332,26.366667,17.391666,1.7466666,2.408333
1673,POINT (39.251886339602486 0.848907943492947),0,27.699999,25.416666,33.399998,21.975,2.1633332,2.325
1674,POINT (39.251886339602486 -2.6275722060496),0,26.133333,64.583336,31.058332,21.216665,2.2975,2.3749998
1675,POINT (34.23928705421556 0.606362816780677),0,22.525002,127.0,28.500002,16.558334,1.9175,2.4916668
1676,POINT (35.45201268777691 -0.687211192351434),0,15.883334,112.583336,21.608332,10.125,1.3141667,2.3583333
1677,POINT (36.50304157019675 -1.010604694634462),0,18.941668,71.416664,26.599998,11.316667,1.4416666,2.7250001
1678,POINT (38.76679608617795 -3.355207586186413),0,24.491667,69.583336,29.858337,19.108332,2.1625,2.716667
1679,POINT (38.12000908161189 -1.33399819691749),0,23.424997,61.166668,28.4,18.483332,1.9799999,2.8666668
1680,POINT (38.76679608617795 1.172301445775975),0,27.025,24.083334,32.766666,21.275,2.1166666,2.4333334
1681,POINT (34.562680556498584 -0.687211192351434),0,21.199999,119.0,27.174997,15.224999,1.75,2.4583333
