,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1,split
736,POINT (37.80830156600049 -0.863308141528971),0,291.1312073601617,297.30586258435386,304.905581580268,0.06081678218758069,91786.17560237028,-0.8883581014953722,-0.058813663037856005,0.9031711552310847,289.23336679438836,0.3203370340464477,298.7495157677657,train
737,POINT (38.28943923033612 -2.58145109181709),0,291.87475702497693,297.9766783785543,305.9550148646037,0.043130822192373824,93907.79795529055,-1.3115909095105358,-0.04267106707104378,1.1759900205489655,289.8471148610295,0.1633380163818895,300.27613623153735,train
738,POINT (37.243162749842455 2.824738029767881),0,295.51439094543457,302.55469155846254,309.6117492251926,0.01564194797260194,95856.08820267094,-3.9472804144108204,-0.015174344007391483,3.2047510411153923,288.83981911403424,0.03125750605710675,307.1873304575914,train
739,POINT (39.70807040767778 -0.018756899537357),0,295.22168975406225,301.32262408223806,308.79641395144995,0.02169957899003521,98713.41754005122,-1.4283334397354759,-0.021200550959393796,3.570402439895057,291.36185035562045,0.14427550333404618,304.73281107970456,train
740,POINT (38.33122607539606 0.49189335094139),0,293.56979836357965,299.3208789896133,306.48620722028943,0.029178934505326506,94127.11210458996,-1.343919999399262,-0.02829610975459218,2.9186920449764493,289.0428427596967,0.18569530555309463,301.43677311704533,train
741,POINT (36.02638556502921 -0.056428862053206),0,285.3240625593397,293.52167993113187,301.7390901777479,0.08021285682121213,83913.64027116117,0.2179376264214863,-0.07242320349258888,-0.1407649405500492,285.1563626541682,0.2566571367902896,295.1154631590943,train
742,POINT (38.90193822508754 -3.935309205434487),0,292.91953065660266,297.8917228913014,305.4775114059448,0.04956168093854482,96803.19448465151,-0.9172072009376673,-0.04749872770238047,1.5898332996263906,292.32227241242805,0.20574224197002475,299.9664877622826,train
743,POINT (38.766565507885154 0.984456953631576),0,295.45262707604303,301.84574843650375,309.1020916832818,0.0220787276537812,97956.20022998785,-2.1744536917646093,-0.0217750106821768,3.4660805824195937,290.17297462912353,0.13147077519666617,305.0236370868385,train
744,POINT (38.66544202265319 -1.833505006145473),0,293.8832074271308,299.4923481324259,307.4061959584554,0.0405287324267887,96396.37133569035,-1.1977478857734023,-0.040172245553953365,1.9148077492038225,290.87207059399026,0.17055713926621174,302.0272673877435,train
745,POINT (40.43695066307874 2.433518442904488),0,294.28534009721545,300.6846655971658,307.838726149665,0.02862382651442583,96568.40190835044,-1.2440734287638344,-0.02663726113193358,2.558788223844795,289.67912407157155,0.27440615961103754,304.5048668021829,train
746,POINT (37.722228578754496 -2.090548987918933),0,289.7095063527425,296.1378684891478,304.05445607503253,0.05120878953519095,90593.73549550613,-1.679591756224688,-0.050039833857833095,0.13777915767654159,288.55237109734645,0.21545965845090193,298.19112252670396,train
747,POINT (40.70984068299302 2.003277805144062),0,295.05185487535266,301.5125845462809,308.8405630323622,0.03183624823299675,97947.78782661623,-1.3923901999943302,-0.028663594249842897,2.8892032151322944,290.44006619519087,0.18607106609505186,305.0388582853576,train
748,POINT (37.581137570228414 -2.04486852941144),0,288.8612045711941,295.6929491007161,303.7020896275838,0.05698431746031803,89733.42703688203,-1.7719150247352469,-0.05539030888919822,-0.005626815330500343,288.11717221149553,0.28928805296032406,297.3920041211081,train
749,POINT (35.41639946028091 -0.41916500009539),0,282.14350509643555,288.0233799524482,295.1062429216173,0.27995561189774965,76568.68353027923,-0.8617467418976025,-0.1247326877200976,0.07311823092798103,283.1629514626857,0.42928676030594437,289.81402683147576,train
750,POINT (35.691489197474 -0.881900754761741),0,282.9419887330797,288.7397786330359,295.7136463589138,0.22913825177930422,77569.77092052199,-1.856529023099946,-0.12033147305353648,0.3400683392580974,283.46959366073764,0.3450909452400672,290.280514339803,train
751,POINT (38.38377851004088 -3.233014319506392),0,291.39270729488794,296.95814641400347,304.8931017981635,0.047501649627165285,92900.86690676853,-0.964278016199729,-0.04650658938852656,1.0456651648108055,289.9634351406615,0.1953677878689802,299.6171584903535,train
