,thindist,background,climate,sensitivity,specificity,auc_checker,auc_ext,condition,gridsize
0,thinned5km,bg3meanA3yr,wcmonthlybg,0.7368421052631579,0.5088732975650021,0.6384828145477188,0.6903074955472385,thinned5km_bg3meanA3yr_wcmonthlybg,0.5
0,thinned9km,bg1uniform,era5land,0.5066666666666667,0.9023372287145242,0.8837813021702838,0.9132275132275132,thinned9km_bg1uniform_era5land,0.5
0,thinned9km,bg1uniform,era5yearmonthly,0.8918918918918919,0.9611853088480802,0.9778967197581556,0.9907805590490488,thinned9km_bg1uniform_era5yearmonthly,0.5
0,thinned9km,bg1uniform,wcbioclim,0.7333333333333333,0.8803768947152806,0.910867130957258,0.9502232265455202,thinned9km_bg1uniform_wcbioclim,0.5
0,thinned9km,bg1uniform,wcmonthly,1.0,0.982793936911102,1.0,0.9957708573625528,thinned9km_bg1uniform_wcmonthly,0.5
0,thinned9km,bg1uniform,wcmonthlybg,0.76,0.8701351904956984,0.913980609040011,0.9133064990702164,thinned9km_bg1uniform_wcmonthlybg,0.5
0,thinned9km,bg2lai,era5land,0.5365853658536586,0.843908135461269,0.832254175013529,0.8466666666666667,thinned9km_bg2lai_era5land,0.5
0,thinned9km,bg2lai,era5yearmonthly,0.7901234567901234,0.9575710393149084,0.9272931293821394,0.9721286867621404,thinned9km_bg2lai_era5yearmonthly,0.5
0,thinned9km,bg2lai,wcbioclim,0.7317073170731707,0.8199532346063912,0.8621799136931354,0.9412274713807092,thinned9km_bg2lai_wcbioclim,0.5
0,thinned9km,bg2lai,wcmonthly,1.0,0.9762275915822292,1.0,0.9946645324796584,thinned9km_bg2lai_wcmonthly,0.5
0,thinned9km,bg2lai,wcmonthlybg,0.8170731707317073,0.7677318784099766,0.8532117940041442,0.884381203461777,thinned9km_bg2lai_wcmonthlybg,0.5
0,thinned9km,bg3meanA3yr,era5land,0.3866666666666666,0.6755741127348643,0.5711287404314545,0.6593298059964726,thinned9km_bg3meanA3yr_era5land,0.5
0,thinned9km,bg3meanA3yr,era5yearmonthly,0.7972972972972973,0.8818371607515657,0.8754951193364554,0.9212138423465456,thinned9km_bg3meanA3yr_era5yearmonthly,0.5
0,thinned9km,bg3meanA3yr,wcbioclim,0.76,0.5030953363598845,0.6841491264272939,0.7668008379822517,thinned9km_bg3meanA3yr_wcbioclim,0.5
0,thinned9km,bg3meanA3yr,wcmonthly,1.0,0.971110193974412,1.0,0.9959120903263264,thinned9km_bg3meanA3yr_wcmonthly,0.5
0,thinned9km,bg3meanA3yr,wcmonthlybg,0.7866666666666666,0.4143623607098638,0.6099821158343651,0.6529042989744919,thinned9km_bg3meanA3yr_wcmonthlybg,0.5
