,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
614,POINT (37.75920993602869 3.123424751423059),0,26.183334,22.666666,31.658333,20.708332,1.9691666,2.3,train
615,POINT (38.92535918851317 -2.041001542758326),0,25.983332,54.916668,30.683334,21.258333,2.2258332,2.5083334,train
616,POINT (38.59148365394631 -3.676077991407055),0,23.116669,59.75,28.116667,18.116667,2.0658333,2.95,train
617,POINT (36.90787899344534 2.157761454944504),0,22.616667,29.416666,28.016665,17.183334,1.7641667,2.2583334,train
618,POINT (37.078633909434295 0.469196182733237),0,18.53333,66.0,25.525002,11.541667,1.4800001,2.2083333,train
619,POINT (35.462477357208094 -1.199724830219246),0,17.575,78.25,24.241669,10.891666,1.3958334,2.4666667,train
620,POINT (38.04388435818416 2.728922292454922),0,26.025,21.916666,31.35,20.700003,1.9683332,2.575,train
621,POINT (40.220920000791345 0.521673232856474),0,28.174997,28.0,33.5,22.841665,2.25,2.7166665,train
622,POINT (41.341177118814485 -1.357386276030359),0,27.041664,51.0,30.608335,23.450003,2.6458335,3.1833332,train
623,POINT (35.21448250774932 0.470681252935759),0,17.525,94.333336,23.791666,11.266667,1.3741666,2.1000001,train
624,POINT (37.1612708458817 -1.252556369168326),0,20.141668,58.0,26.283335,14.0,1.5849999,2.9749997,train
625,POINT (38.2236886890302 -3.225785550526752),0,22.516668,57.666668,27.883337,17.191666,1.9616665,2.7916667,train
626,POINT (39.29736226612787 2.474908849875767),0,26.699999,26.916666,32.43333,21.0,2.0325,2.5583334,train
627,POINT (39.219580220205536 -0.350849965963497),0,27.225,30.75,32.524998,21.875,2.1999998,2.45,train
628,POINT (40.70781344378064 -0.871309538374057),0,27.350004,36.666668,31.558334,23.15,2.4416666,2.7749999,train
629,POINT (37.26031557122623 -1.392885082624358),0,19.191668,64.083336,24.741667,13.633332,1.5491667,2.8416665,train
630,POINT (40.332140699278575 -0.42450926264024),0,28.125,30.666666,33.091667,23.175001,2.3691666,2.6166666,train
631,POINT (38.04885481765989 -3.491778092151121),0,22.033333,53.916668,27.633333,16.416666,1.9024998,3.175,train
632,POINT (34.880179282088704 3.15110446754309),0,22.358332,48.25,28.099998,16.633333,1.6766667,2.3166666,train
633,POINT (38.21687665855739 1.748150899767416),0,26.566664,26.333334,32.64167,20.525,2.0475,2.2250001,train
634,POINT (38.48937193778821 -0.415136248460236),0,23.883331,42.916668,28.950003,18.791666,2.0183332,2.3166666,train
635,POINT (39.180276303445176 -0.589347308728113),0,26.816666,35.833332,31.991669,21.641668,2.1975,2.45,train
636,POINT (34.96332834681799 4.130713262331249),0,27.716667,34.833332,35.06667,20.35,2.1066663,2.0916667,train
637,POINT (36.18397620651665 0.497620111054214),0,21.658333,67.333336,28.724998,14.624997,1.6225001,2.6833334,train
638,POINT (40.93293419015523 -1.834786755530458),0,27.14167,68.416664,30.625,23.641668,2.7075002,3.7500002,train
639,POINT (39.98915481397798 -2.013126414884258),0,27.316666,53.5,31.758333,22.849998,2.4799998,2.4583333,train
640,POINT (36.73401359849446 -0.879128710805595),0,14.066667,135.58333,19.599998,8.533334,1.2825,2.4916666,train
641,POINT (36.7511690920654 -1.814438895426197),0,19.525,47.25,25.583334,13.474999,1.5000001,2.9916668,train
642,POINT (40.797358342115814 2.288864254372177),0,27.583336,29.083334,33.249996,21.925001,2.135,2.9000003,train
643,POINT (39.647640863787906 1.941263490134434),0,27.708334,27.166666,33.375,22.049997,2.1016667,2.6416667,train
644,POINT (35.31081512584268 1.597545876794086),0,18.016665,82.916664,24.033335,12.008332,1.4241667,2.2833335,train
645,POINT (37.85607823990922 3.215282104822053),0,25.349998,26.916666,30.724998,19.975,1.9091665,2.425,train
646,POINT (36.17545896083787 1.451498100654748),0,24.16667,37.416668,31.341667,17.008333,1.8308331,2.3750002,train
647,POINT (35.08209381084159 3.591243120573858),0,27.516668,28.416666,34.75,20.283335,1.9916667,2.325,train
648,POINT (34.61268443511 0.961595034445003),0,13.066667,125.083336,18.066666,8.099999,1.1633333,1.7083331,train
649,POINT (37.734191612293074 3.060017231582496),0,26.474998,20.916666,31.858332,21.141666,1.9949999,2.425,train
650,POINT (39.945433377035435 -0.838652204133656),0,27.833334,32.583332,32.658333,23.016665,2.375,2.525,train
651,POINT (37.493758184440715 3.688456779237135),0,26.499998,21.166666,32.383335,20.624998,1.9783335,2.2166665,train
652,POINT (41.16012613853934 -1.54289637696242),0,26.966665,56.583332,30.491667,23.449999,2.6216667,3.0833333,train
653,POINT (39.798340864270095 -2.711586564086236),0,25.308334,65.666664,29.208334,21.416666,2.3816667,2.8583333,train
654,POINT (35.54664965143767 0.392642213262927),0,14.083333,115.416664,19.783335,8.383333,1.17,2.0000002,train
655,POINT (36.99839250117937 2.187759757614766),0,20.15,39.833332,25.375,14.908333,1.565,2.2583332,train
656,POINT (36.53775408828421 -0.76691889790875),0,13.566667,84.833336,20.158333,6.9916673,1.2283334,2.3666666,train
657,POINT (38.414505527141074 0.749586121469632),0,25.29167,32.0,30.76667,19.833332,2.0141666,3.0,train
658,POINT (39.611600541997404 1.309236009417875),0,27.858335,25.583334,33.208332,22.508333,2.1333334,2.5583336,train
659,POINT (37.11262794772336 -1.285074360292743),0,20.250002,55.166668,26.441664,14.066667,1.5883332,2.9833333,train
660,POINT (36.219078507011616 1.766144558062337),0,26.050001,28.75,33.100002,19.008333,1.9508334,2.2916667,train
661,POINT (38.98815271594038 -3.100575009027493),0,25.574999,71.833336,30.849998,20.3,2.2450001,2.475,train
662,POINT (38.92591503275634 0.304012797088784),0,26.23333,29.166666,31.933336,20.53333,2.1066663,2.2416668,train
663,POINT (37.79795284455574 3.120211963629291),0,26.183334,23.25,31.683334,20.666666,1.9666666,2.3166666,train
664,POINT (40.22623255648938 -2.370372465112767),0,27.041664,67.75,30.791666,23.275,2.5849998,3.1833334,train
665,POINT (36.761636533381136 0.154688084865701),0,17.158333,59.916668,24.808334,9.500001,1.4058332,2.675,train
666,POINT (40.03507869287951 -2.559184723952081),0,26.291666,72.75,30.091667,22.474998,2.5241668,3.0,train
667,POINT (37.98332834234563 -2.996023060028406),0,23.116667,43.75,28.833334,17.416666,1.9900001,3.1333332,train
668,POINT (36.47130613984824 0.703860070679823),0,17.058334,60.666668,23.85,10.258333,1.3649999,2.0249999,train
669,POINT (39.222682347458445 -0.528965649278559),0,26.95833,34.25,32.175,21.733335,2.2,2.4666667,train
670,POINT (38.261308303876184 -0.509053197320285),0,22.425001,48.333332,27.891668,16.924997,1.9050002,2.4666665,train
671,POINT (35.40305068387734 1.770156834990457),0,18.666666,70.333336,24.466665,12.875001,1.4408334,2.025,train
672,POINT (36.42795280362762 0.722205396219939),0,17.475,63.583332,24.166666,10.791667,1.39,2.0583332,train
673,POINT (36.10404019750532 1.544231952321089),0,25.416666,34.333332,32.641666,18.158333,1.9225,2.1583335,train
674,POINT (36.02898067530804 3.108759583329939),0,29.316664,15.416667,36.041668,22.558332,2.0708334,2.25,train
675,POINT (39.0473860848742 -4.402711720220135),0,25.158333,80.583336,29.808336,20.491667,2.4575,2.5333333,train
676,POINT (40.59637460769814 3.990658042892085),0,24.075003,26.0,29.641668,18.516666,1.8575,2.4333332,train
677,POINT (40.33634299640004 1.710164375221265),0,28.191668,29.166666,33.458332,22.891665,2.1675003,2.8999999,train
678,POINT (39.25901417264389 1.411838451530369),0,27.675001,25.25,33.241665,22.133333,2.1249998,2.45,train
679,POINT (36.825777863363264 0.194095556122636),0,17.166666,60.75,24.708334,9.608333,1.4216667,2.65,train
680,POINT (39.968033090826 2.383262541911623),0,27.125,27.25,32.408337,21.85,2.0566666,2.8083334,train
681,POINT (37.321320030830485 0.884735684140371),0,21.483332,63.833332,28.216667,14.749999,1.6866665,2.45,train
682,POINT (37.576989045027375 -2.687424179782631),0,21.533333,62.916668,27.908335,15.183333,1.775,3.0,train
683,POINT (37.48363372838682 3.548973845653461),0,26.258333,21.333334,32.116665,20.425001,1.9458333,2.2833333,train
684,POINT (38.83052346346589 2.392201742231803),0,26.583334,26.916666,32.175,20.991667,2.0391667,2.5083334,train
685,POINT (38.237828798239775 1.425215679649799),0,26.466667,27.0,32.441666,20.525,2.0575001,2.425,train
686,POINT (38.60414007494106 1.106636905943494),0,26.716667,27.25,32.408333,21.008331,2.0891664,2.3333333,train
687,POINT (38.717215337513565 -2.996295052538227),0,24.849998,82.583336,30.133331,19.566666,2.155,2.591667,train
688,POINT (34.89136626989306 4.008371369747791),0,27.700003,34.75,35.149998,20.21667,2.0916667,2.075,train
689,POINT (36.31302724212963 2.445984755215019),0,27.541666,19.916666,34.425,20.666666,1.9858333,2.175,train
690,POINT (39.51164510141447 -4.149157034249517),0,25.483332,94.666664,29.733332,21.216667,2.5408332,3.1000001,train
691,POINT (40.76491836905136 -1.639939557791663),0,27.191668,56.5,30.874998,23.500002,2.6141667,3.2583334,train
692,POINT (39.13891301865462 -3.105991339883888),0,25.750002,68.75,31.0,20.516668,2.2783332,2.3666663,train
693,POINT (40.24782467281088 1.799447546779253),0,28.158335,29.166666,33.566666,22.733335,2.1441665,2.841667,train
694,POINT (40.1354244689974 -2.199416194298958),0,27.15,60.416668,31.133333,23.141668,2.5358336,2.8166666,train
695,POINT (35.46352097459603 1.635424375165716),0,23.483335,52.166668,29.824999,17.15,1.8449999,2.2583334,train
696,POINT (39.26260750342289 -4.265344930633071),0,24.858335,82.0,29.375,20.341667,2.4475,2.7333333,train
697,POINT (38.15561664121471 -3.105538891152372),0,23.049997,53.416668,28.383333,17.699999,2.0000002,3.1000004,train
698,POINT (39.860361087781314 3.280322510027351),0,25.183334,29.916666,30.716665,19.641666,1.9108334,2.675,train
699,POINT (34.385839581059635 3.891832705598905),0,25.341665,40.75,31.924997,18.78333,1.9541665,2.1833332,train
700,POINT (34.6775661878318 -0.965007742087905),0,19.78333,136.08333,25.583334,13.983334,1.605,2.4583335,train
701,POINT (35.17701004589318 3.894285602973157),0,28.016668,28.5,35.266666,20.758333,2.0591667,2.2166667,train
702,POINT (40.3133800970589 2.544775792928912),0,25.891668,29.5,31.116669,20.65,1.9841665,2.6250002,train
703,POINT (36.42795280362762 0.722205396219939),0,17.475,63.583332,24.166666,10.791667,1.39,2.0583332,train
704,POINT (39.82255248506208 -2.002660638278307),0,27.050003,51.416668,31.591665,22.541666,2.4358332,2.4166667,train
705,POINT (41.47457273667357 3.857448493347944),0,28.358332,21.5,34.241665,22.475,2.1166666,2.8166666,train
706,POINT (40.17209633554005 -1.123718871404454),0,27.508331,34.416668,32.15,22.883337,2.4416666,2.5916665,train
707,POINT (35.043943686967694 2.727440850440439),0,26.450003,37.833332,33.541668,19.391665,1.9400002,2.466667,train
708,POINT (37.592299737798484 -1.055297707069564),0,21.533333,59.75,27.349998,15.724999,1.7383333,2.9583333,train
709,POINT (39.278792037569005 -0.373875228680074),0,27.183334,30.916666,32.43333,21.941666,2.1991665,2.4166667,train
710,POINT (40.72183378912621 -0.62412940595184),0,27.558334,33.833332,31.949999,23.199999,2.4158332,2.8166666,train
