,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1,split
238,POINT (36.42219319462599 1.819088450342031),0,295.9073023266262,303.7161809463935,311.2876278559367,0.03611138248020704,96271.74374816538,-1.9211209805851095,-0.0346895899468412,0.16197605597458742,289.4629579687536,0.05056281319302454,308.2409116959873,train
239,POINT (40.788005475446866 -0.768059567922191),0,295.6439462237888,300.81069200578423,308.53518284691705,0.032573777325775516,100008.34185833177,-1.2035136064482872,-0.03202222274719841,2.6204698180286488,293.28631919227234,0.12920678728373292,304.12469306152707,train
240,POINT (35.93710294120145 0.282969314497649),0,285.6590112050374,293.5961773523657,301.5279301537408,0.07692958556561963,83407.87795662368,0.01219455804532173,-0.07096857629949227,-0.16558667656243042,284.12188273041653,0.13365830694127254,296.7014496381465,train
241,POINT (38.92849283731946 0.202120938926892),0,294.5496651331584,300.6861774811464,308.2138719558716,0.029487518461538312,97100.80959160764,-1.4464480386157215,-0.0292185649741441,3.1889517392841897,290.4351412254328,0.1459629073475806,303.50710262457693,train
242,POINT (36.826435072479775 -0.606362816780678),0,280.0724120669895,286.63394367677256,293.5451948377821,0.11183743972777621,76477.28804654522,-0.7161530193001583,-0.09086567285703495,0.3314008607405318,283.08992611315955,0.29958727584414196,289.0669695260164,train
243,POINT (35.290315936635395 -0.363817690068406),0,284.0886639489068,289.86041423128677,297.20689498053656,0.22323868188004653,79197.78910789208,-0.5532567895570258,-0.12709928353756872,0.27806297753648984,284.5282440471045,0.4283901256183815,290.8595798356388,train
244,POINT (35.69455781448918 -0.848907943492948),0,282.9419887330797,288.7397786330359,295.7136463589138,0.22913825177930422,77569.77092052199,-1.856529023099946,-0.12033147305353648,0.3400683392580974,283.46959366073764,0.3450909452400672,290.280514339803,train
245,POINT (36.74558669690902 0.121272563356135),0,283.44307136535645,290.74867298629147,298.595377392239,0.06176828998897767,80284.11222601075,-1.0473812751096496,-0.05948650856347134,0.17075710878564734,283.1240306771063,0.23256414556852562,292.8550416080649,train
246,POINT (36.826435072479775 4.163691341893982),0,294.7662541071574,301.5031462135368,308.72584957546655,0.020201850498626255,92949.87424904987,-4.237131425541765,-0.0199205760533611,2.8648827981812546,286.80055552151725,0.1284017429927459,305.46885499288476,train
247,POINT (37.23067695033356 -2.546723830478843),0,288.41275935702856,294.89874574231607,302.8006472057766,0.06036815613540639,87651.33068254293,-1.6858052677057247,-0.05727829476301041,-0.5704210889229449,286.8085763115466,0.18066118919062418,297.78068970991524,train
248,POINT (34.80522568321086 -1.010604694634462),0,285.6121992535061,291.87289939753396,299.9604495366414,0.1406700396106405,82287.32877660483,-0.9037831651994639,-0.11102544172253045,0.09495244345055963,286.3738776942833,0.39009696390674603,293.76168634738195,train
249,POINT (38.2817058327534 3.436055961757169),0,292.7319848802355,299.2633978420325,306.78114393022327,0.03423801025408138,93142.51750028698,-3.3721462746862554,-0.03350802626745361,2.249123865093704,287.66203122638734,0.12121332888663004,302.1203734293786,train
250,POINT (39.89867334416854 3.193510835044898),0,292.55215146806506,299.1497569572568,306.39874913957385,0.03611662655066413,94069.10353175545,-1.3040252969476167,-0.034931069168831326,2.1934252729887995,288.36685939123265,0.1323204462455304,302.149611659035,train
251,POINT (36.58388994576751 -0.929756319063705),0,281.0662498474121,287.88534617037106,295.1184420055813,0.09403065314962761,77209.80630291978,-1.2548182202843596,-0.07468602072266448,0.1645877176791262,283.0866212561625,0.3311672587949846,289.3144079887093,train
252,POINT (38.8476444617487 0.363817690068406),0,294.36493439144556,300.4425890628597,307.8838187323676,0.029235510540829387,96409.33822032495,-1.5089949884109477,-0.028900032533177484,3.3704903951429213,290.1060020481108,0.14782659973609483,303.6509785191374,train
253,POINT (38.76679608617795 -1.010604694634462),0,294.27579519483777,299.91300240361517,307.5718165503608,0.03453732729197504,96625.07991863808,-1.0604468202795614,-0.0341267792844317,2.132760828879201,290.69896186679506,0.1973411085240051,302.1942076056581,train
254,POINT (36.826435072479775 1.172301445775975),0,287.175874710083,293.486806048015,300.62707795037164,0.05037641693145992,84262.17112609681,-1.5483411139856074,-0.04814590303511876,0.5027522668718523,285.5497002911285,0.18627121019042722,295.89103080657065,train
255,POINT (37.87746395489962 -2.061633577054302),0,290.4678497314453,296.7458374825792,304.6280680762397,0.0459036982021328,91595.39365734188,-1.679119597413447,-0.04507273960108352,0.5940445604788771,288.88724579273855,0.220598693815735,298.8277773757079,train
256,POINT (38.524250959465675 -3.031814083903384),0,292.55002254909937,298.4917936612057,306.608037630717,0.03577130554069376,95265.3538098997,-1.1376298425446958,-0.03525513910507369,1.2902143876141874,290.6203898490037,0.1939768184143736,300.9740181536925,train
257,POINT (40.141218470880816 -0.28296931449765),0,295.50179269578723,301.4057573699125,309.02072556813556,0.021903233780953244,99438.21744516079,-1.4552528252478882,-0.021687815334492672,3.615521736987764,292.0714287555994,0.14542669440645184,304.88466032645664,train
258,POINT (34.643528932069344 0.121272563356135),0,288.55656337738037,293.63506660060307,300.5522058275011,0.2325215190362529,85141.26199857012,0.0234583815495333,-0.11931017325777146,-0.005505444453628691,289.18386426613483,0.45191494980717234,295.2349858142301,train
259,POINT (34.7243773076401 0.202120938926892),0,287.5941521326701,293.66147475784095,301.2753378550212,0.19633948106765048,85600.43849579777,-0.09712953328726527,-0.11303585922966401,-0.10764821048904756,289.0272058012164,0.4531992755926073,294.8826832243027,train
260,POINT (34.88607405878161 -0.929756319063705),0,284.8637504577637,290.90481960776884,298.7153729332818,0.15401333365828754,80994.87501566684,-0.8235439229218121,-0.10828928576989306,0.15317136518039018,285.7638737622107,0.4211139252596524,291.8808004706289,train
261,POINT (37.31152532590432 -2.223330328195816),0,288.6215936872694,294.76102154987694,302.50757673051623,0.05844498960954576,87669.61031623793,-2.047061934046149,-0.055953382689040154,-0.2328288395821609,287.33101006171927,0.2507571943116354,296.9981631958533,train
262,POINT (37.39237370147508 -0.363817690068406),0,284.5275598102146,290.4133565301752,296.9268802007039,0.23180683792497675,83104.69011583019,-0.5673374882597576,-0.10465160462384422,0.16432779445355236,286.58999526737455,0.37845495991323896,290.8632700623889,train
263,POINT (37.39237370147508 -0.121272563356135),0,276.83242342207166,281.31517615376845,287.68305587768555,0.3705235746816558,67056.97017361366,-0.7418937661096687,-0.11112018765157296,0.5693852965965577,278.4701099436614,0.38863770681403914,285.22525182381435,train
264,POINT (37.634918828187345 -1.819088450342031),0,287.9546187718709,294.67566838322745,302.4978318744236,0.05656425739981362,88481.05523828072,-1.441968898974327,-0.055680578749161214,0.41996801546309287,287.6554976580756,0.20594183888936363,296.92350441344956,train
265,POINT (39.73697659302703 3.112662459474142),0,292.5832102033827,299.1199537936565,306.28020721011694,0.043025561424503346,94072.8762062611,-1.563850821010594,-0.04158080408039192,2.1582958668819607,288.5195893494135,0.1420410780820165,301.9347958591431,train
266,POINT (36.74558669690902 0.040424187785378),0,282.7452274958293,290.222458057436,297.99106131659613,0.061799745046754305,79652.93542016874,-0.9411202714944387,-0.05946143014201274,0.3216920758130575,282.8391847910875,0.29221587105419256,292.14737031160917,train
267,POINT (39.65612821745627 -3.597752712898684),0,295.3178024291992,298.9451711635819,304.3726468616062,0.06719229884892003,99776.64410440419,-1.0331412188107012,-0.06342582228050257,2.4318813769588767,294.49593780732636,0.2989993129179796,301.5537064344299,train
268,POINT (38.76679608617795 -0.848907943492948),0,293.89106845855713,299.69529549414426,307.4643653233846,0.03490683350744475,96089.30526817845,-1.052997800300394,-0.03430750318673543,2.3295396678207534,290.3294311615302,0.1789431326246884,302.09308884901196,train
269,POINT (36.42219319462599 -0.28296931449765),0,281.11399862501355,288.73991346099524,296.3896541595459,0.1659324696621891,77999.4957533051,-0.8989806896698581,-0.08746822402139919,0.03635129955661284,283.55998276442176,0.42597675373717253,290.048238816454,train
270,POINT (39.171037964031726 -0.444666065639163),0,294.5648552576701,300.58753192952,308.28184360928003,0.026850181551353422,97451.59751538344,-1.297306605797992,-0.025998908618930727,3.13390237344675,290.79829838700584,0.13857520056773273,303.6065093864256,train
271,POINT (38.20085745718265 -0.363817690068406),0,292.84411387973364,298.5149155664149,306.00962426927356,0.06124108716464005,93524.8703637093,-0.7701599965040781,-0.0566451709665772,1.65209671910419,289.5889790878378,0.2282144655183577,300.4758549262135,train
272,POINT (36.74558669690902 -1.010604694634462),0,281.6793960995144,288.7591948449335,296.1540066401164,0.07904207708760397,78968.53320186505,-1.2619952670225585,-0.06857105660148793,-0.14487628206281936,283.7610344880778,0.31452650411743516,289.60400434953306,train
273,POINT (35.12861918549388 0.687211192351434),0,283.9825202094184,290.7404430628781,298.2645388709174,0.12347997225439511,80404.63651654383,-0.942148922637768,-0.0945629216471894,-0.3370064402486366,284.16581931953294,0.34803809773733874,292.56995834428824,train
274,POINT (36.42219319462599 -1.33399819691749),0,286.3925828933716,294.76860916675537,302.9939773347643,0.05345905424438545,86086.26563883912,-1.3652747998297,-0.05217564148026415,0.36487867441323435,286.3042571049225,0.18615157358855694,296.9539844156068,train
275,POINT (40.46461197316384 -1.33399819691749),0,295.64220756954614,300.8437187140428,308.46664799584283,0.03620595828765924,100361.01038990318,-1.1457513411340634,-0.03550474464039629,2.5237897846731796,293.4879197763503,0.15385638769952617,303.70736722646706,train
276,POINT (39.171037964031726 -4.406236468606252),0,294.331426302592,298.7706154658364,304.84629355536566,0.09054590598402051,100104.68546995433,-0.678823336283195,-0.08587258740509343,1.693925292201551,294.52671981820794,0.14809317024822755,300.5674032538018,train
277,POINT (37.715767203758105 -2.789268957191115),0,288.2994147406684,294.78942840660403,302.44472461276587,0.05869604147589169,88376.5694956507,-1.3854365076673272,-0.05552437684835038,1.1165586499745037,287.4050720810124,0.17929159815202408,297.68182920047303,train
278,POINT (35.20946756106464 -1.253149821346732),0,286.035113758511,293.42866222663235,302.12322574191626,0.08355108376624812,83528.02150565754,-1.6116999249432078,-0.07674970781146032,-0.07153542849304241,285.41927837634125,0.23672612200005347,294.67503912690876,train
279,POINT (36.988131823621295 -2.6275722060496),0,288.3522636625502,294.84002974606113,302.59602398342554,0.06387492799336011,87819.25882438998,-1.2953718564969807,-0.05830698386610796,-0.7930948284855392,286.98724459789736,0.2484869694175417,297.3906154046589,train
280,POINT (37.47322207704583 -1.495694948059003),0,287.5909815894233,294.0199070067483,301.48136870066327,0.06836411405801074,87613.95055647848,-1.307731620738636,-0.06335749741022785,0.6003856228344959,287.64377016108824,0.24636418821524086,295.73283643166235,train
281,POINT (36.58388994576751 -1.980785201483545),0,288.05923165215387,294.5431287548894,302.4623244603475,0.0555592004130214,85381.6841892762,-2.274298754469702,-0.05390467565222126,0.4805567609222263,285.6226527643449,0.1924788254788038,297.92790313509147,train
282,POINT (38.20085745718265 -0.202120938926893),0,293.7389455371433,299.8695870902803,307.4719795650906,0.049720318648874384,95325.64981929718,-0.6241181189933523,-0.04658163839485496,1.402321824040869,289.9617663182542,0.21513346468589656,301.68991156128317,train
