ID,Date,Region,Sub region,Country,District,Village,lat,long,FAW Confirmed count,FAW Suspected count,FAW Confirmed + Suspected count,Other species count
8329,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865344,0.214014,9,10,19,16
833,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,null,Zimbabwe,-20.212053,28.581983,,,,
8330,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865344,0.214014,5,2,7,
8331,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865341,0.214015,3,4,7,2
8332,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865338,0.214028,24,6,30,15
8333,2022-08-22,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara Region,9.693766,0.727593,,,,
8334,2022-08-22,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.865344,0.214014,5,2,7,
8335,2022-08-23,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.883995,0.199136,,,,
8336,2022-08-23,Africa,Sub-Saharan Africa,Togo,Savanes Region,Savanes Region,10.729813,0.379985,,,,
8337,2022-08-23,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.763655,1.565518,2,1,3,
8338,2022-08-24,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.257346,27.477845,8,2,10,9
834,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,Midlands Province,Gweru,-19.480508,29.848793,5,8,13,3
8341,2022-08-24,Africa,Sub-Saharan Africa,Zambia,Copperbelt Province,Copperbelt Province,-12.54872,27.85701,,,,
8342,2022-08-24,Africa,Sub-Saharan Africa,Zambia,Copperbelt Province,Copperbelt Province,-12.548719,27.85701,,,,
8343,2022-08-24,Africa,Sub-Saharan Africa,Zambia,Copperbelt Province,Copperbelt Province,-12.54872,27.857011,,,,
8344,2022-08-24,Africa,Sub-Saharan Africa,Zambia,Copperbelt Province,Copperbelt Province,-12.54872,27.857011,,,,
8345,2022-08-24,Africa,Sub-Saharan Africa,Zambia,Copperbelt Province,Copperbelt Province,-12.548703,27.857019,,,,
8347,2022-08-24,Africa,Sub-Saharan Africa,Zambia,Copperbelt Province,Copperbelt Province,-12.54872,27.857011,,,,
8348,2022-08-24,Africa,Sub-Saharan Africa,Zambia,Copperbelt Province,Copperbelt Province,-12.548706,27.85702,,,,
8349,2022-08-24,Africa,Sub-Saharan Africa,Togo,Savanes Region,Mango,10.340247,0.463873,5,7,12,9
835,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,Midlands Province,Gweru,-19.484397,29.849517,3,1,4,
8350,2022-08-24,Africa,Sub-Saharan Africa,Cape Verde,São Filipe,São Filipe,15.017383,-24.403406,,,,
8351,2022-08-24,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,9.044229,1.443174,1,,1,3
8352,2022-08-25,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,9.160841,1.176551,,,,1
8353,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.624759,27.770871,4,1,5,3
8354,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.620711,27.768672,4,1,5,3
8355,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.624759,27.770871,4,1,5,3
8356,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.623858,27.770138,4,1,5,3
8357,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.627076,27.773436,8,4,12,4
8358,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.628856,27.775312,4,1,5,3
8359,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.623858,27.770138,4,1,5,3
836,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,Midlands Province,Gweru,-19.480238,29.848432,12,6,18,6
8360,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.624759,27.770871,8,2,10,6
8361,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.627076,27.773436,,,,
8362,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.632292,27.781498,4,1,5,3
8363,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.624759,27.770871,4,1,5,3
8364,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.627076,27.773436,,,,
8365,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.626846,27.772703,4,1,5,3
8366,2022-08-25,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.619492,27.770138,4,1,5,3
8367,2022-08-25,Africa,Sub-Saharan Africa,Zambia,"North-Western Province, Zambia","North-Western Province, Zambia",-12.318357,25.8463,,,,
8368,2022-08-25,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.612199,1.124959,,,,
8369,2022-08-27,Africa,Sub-Saharan Africa,Zambia,Central Province,Central Province,-13.975155,28.686816,,,,
837,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,null,Gweru,-19.476213,29.847753,5,7,12,2
8372,2022-08-29,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara Region,9.95099,1.342555,,,,
8373,2022-08-29,Africa,Sub-Saharan Africa,Togo,Centrale Region,Centrale Region,8.703034,1.132479,,,,
8374,2022-08-29,Africa,Sub-Saharan Africa,Togo,Kara Region,Kara Region,9.661962,1.348884,,,,
8375,2022-08-29,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.86875,0.191789,,,,
8376,2022-08-29,Africa,Sub-Saharan Africa,Togo,Savanes Region,Dapaong,10.868746,0.191763,,,,
8377,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742856,28.166993,1,2,3,
8378,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742103,28.165478,3,6,9,
838,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,Midlands Province,Gweru,-19.477648,29.843338,10,7,17,8
8380,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742867,28.166965,,,,
8381,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742701,28.166901,3,6,9,11
8382,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742949,28.166967,3,6,9,11
8383,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.74283,28.167019,3,6,9,11
8384,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.74279,28.166959,4,3,7,11
8385,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742856,28.166997,3,6,9,11
8386,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742857,28.166999,3,6,9,11
8387,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742859,28.166984,3,6,9,11
8388,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742833,28.166993,3,6,9,11
8389,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Lusaka Province,Lusaka Province,-15.742856,28.166989,3,6,9,1
839,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,null,Gweru,-19.478963,29.84807,3,2,5,1
8390,2022-08-30,Africa,Sub-Saharan Africa,Togo,Savanes Region,Savanes Region,10.234762,0.90283,,,,
8391,2022-08-30,Africa,Sub-Saharan Africa,Togo,Savanes Region,Savanes Region,10.998892,0.040675,,,,
8392,2022-08-30,Africa,Sub-Saharan Africa,Togo,Savanes Region,Savanes Region,10.998892,0.040675,,,,
8393,2022-08-30,Africa,Sub-Saharan Africa,Zambia,Northern Province,Northern Province,-10.212547,31.182313,,,,
8394,2022-09-01,Africa,Sub-Saharan Africa,Togo,Savanes Region,Savanes Region,10.949152,0.422092,,,,
8396,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.540865,27.350446,,,,
8397,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.52532,27.358147,,,,
8398,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.520019,27.366972,,,,
8399,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.52033,27.359995,,,,
84,2019-05-16,Asia,Southern Asia,Sri Lanka,Central Province,Hasalaka,7.356015,80.963448,5,,5,
840,2019-06-27,Africa,Sub-Saharan Africa,Zimbabwe,Midlands Province,Gweru,-19.480508,29.848793,10,11,21,7
8400,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.523334,27.357792,,,,
8401,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.527839,27.35926,,,,
8402,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.51743,27.366238,,,,
8403,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.520926,27.362933,,,,
8404,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.520696,27.363049,,,,
8405,2022-09-01,Africa,Sub-Saharan Africa,Zambia,Southern Province,Southern Province,-16.523334,27.357792,,,,
