,geometry,class,tavg,prec,tmax,tmin,vapr,wind
1477,POINT (37.33853037744187 -0.975298886642172),0,20.583332,72.833336,26.08333,15.049999,1.6658335,2.9000003
1478,POINT (37.15879521699028 -0.962329865569831),0,19.866667,78.833336,25.900002,13.841666,1.5833334,2.8999999
1479,POINT (36.72939630171655 -0.725920816823123),0,11.458333,131.75,16.7,6.1999993,1.1474999,2.0333333
1480,POINT (37.08773870575619 -0.946880282198165),0,19.633333,86.333336,25.491667,13.766666,1.5583334,2.916667
1481,POINT (37.07721756865155 -0.932692542170068),0,19.583332,88.416664,25.416666,13.766667,1.5575,2.8666668
1482,POINT (36.90609644224523 -0.619798816966717),0,16.208334,135.91667,22.383331,10.041667,1.3783332,2.6583333
1483,POINT (36.93771711248807 -0.741000810091926),0,17.316668,144.83333,23.241667,11.358333,1.4341666,2.4416666
1484,POINT (36.860726373514275 -0.616435899085576),0,15.325,143.33333,21.641665,9.016667,1.3358334,2.525
1485,POINT (37.07799053760304 -0.913239938502506),0,19.458334,91.75,25.241667,13.674999,1.5500001,2.8416665
1486,POINT (37.028725035080015 -0.673220643727625),0,18.766668,115.25,24.591667,12.958333,1.54,2.8
1487,POINT (37.14321928028619 -0.66238886486389),0,19.508333,104.083336,25.308332,13.733333,1.5950001,2.7749999
1488,POINT (37.150536919990344 -0.976909850996881),0,19.85,78.166664,25.866669,13.833332,1.5791668,2.8916667
1489,POINT (37.01767845066933 -0.870874848772475),0,18.758335,110.583336,24.449999,13.116666,1.5108333,2.8416665
1490,POINT (37.22968372960334 -0.826490830484866),0,20.975,82.333336,26.708334,15.2,1.6891667,2.841667
1491,POINT (37.00477155461758 -0.642701725362011),0,18.083334,121.583336,23.941668,12.224999,1.4975,2.6750002
1492,POINT (36.812973302305174 -0.668414972993884),0,14.083335,143.08333,19.999998,8.183333,1.2858334,2.4833333
1493,POINT (36.79779113696161 -0.594009104116062),0,13.2,134.66667,18.933332,7.441667,1.2375,2.5333333
1494,POINT (37.00288940035033 -0.928370642891142),0,19.158333,102.833336,24.849998,13.474999,1.5183334,2.825
1495,POINT (36.99820536306623 -0.938392761020099),0,19.091667,103.416664,24.799997,13.375,1.5133333,2.825
1496,POINT (37.03325085794929 -0.69566004204245),0,18.566668,119.0,24.366669,12.8,1.5266668,2.8083332
1497,POINT (36.90354756157367 -0.805765268348098),0,16.466667,145.41667,22.491667,10.475,1.3874999,2.6499999
1498,POINT (36.98254483326325 -0.610852313946905),0,17.466665,121.916664,23.333334,11.616668,1.4583334,2.641667
1499,POINT (36.94942146356178 -0.722571503634142),0,17.71667,131.83333,23.658333,11.791665,1.465,2.6000001
1500,POINT (36.74490727560128 -0.594997506763812),0,11.875,124.666664,17.35,6.391667,1.1825,2.2416666
1501,POINT (36.804460759399674 -0.621883670661449),0,13.525002,137.66667,19.391666,7.700001,1.2541666,2.5333335
1502,POINT (37.269399008520004 -0.966806857072333),0,19.766666,78.666664,25.29167,14.266667,1.5966668,2.916667
1503,POINT (36.98874218983449 -0.810031884408058),0,18.125002,125.5,23.824999,12.391667,1.4825001,2.7749999
1504,POINT (37.18301144324037 -0.891326049841281),0,19.983335,83.416664,25.766668,14.200001,1.6225,2.9333336
1505,POINT (36.72501831882749 -0.749423190265848),0,11.950001,132.41667,17.275,6.633333,1.1791667,2.1833334
1506,POINT (37.14305866919457 -0.767940274689281),0,20.158333,93.916664,26.016668,14.299999,1.6408333,2.9083335
1507,POINT (36.92222328189412 -1.236123493516035),0,20.008333,60.583332,25.950003,14.058333,1.5383333,2.9833333
1508,POINT (36.46305762429638 -0.914931808943851),0,14.400001,82.333336,20.908335,7.866667,1.2233335,2.5666668
1509,POINT (36.03668017855313 -0.209513663640312),0,16.775002,76.666664,23.991667,9.541666,1.3441668,2.2333333
1510,POINT (36.348943159396995 -0.480583583895645),0,15.858333,55.916668,23.325003,8.349999,1.3141667,2.3
1511,POINT (36.28379569528068 0.132651254168797),0,16.499998,85.333336,23.691666,9.316667,1.3475,2.4916666
1512,POINT (35.94613555982081 -0.211336294588774),0,16.975,75.833336,24.349998,9.583333,1.3466667,2.1250002
1513,POINT (35.86052745676463 -0.225945538940073),0,17.208334,77.5,24.441666,10.033333,1.36,2.2583334
1514,POINT (35.79216674247055 -0.382812642288411),0,12.033333,99.416664,17.766665,6.291666,1.11,2.1583335
1515,POINT (36.10956929697999 -0.501941290801961),0,17.550001,58.0,25.241667,9.866668,1.3899999,2.4166665
1516,POINT (35.99456383982923 -0.36594053611619),0,16.116665,71.166664,23.466665,8.766667,1.3191667,2.2250001
1517,POINT (36.048981827499645 0.006623959431711),0,18.825,81.416664,26.041666,11.591667,1.4699999,2.3666668
1518,POINT (36.39439825915419 -0.829885506593422),0,16.641665,63.0,23.183332,10.091666,1.3575,2.7
1519,POINT (35.6245910367393 -0.094028295965795),0,14.875,94.416664,21.066668,8.666667,1.2291666,2.175
1520,POINT (36.015574664580875 -0.642091297811585),0,12.224999,86.416664,18.308334,6.1666665,1.1066666,2.075
1521,POINT (36.40220243844847 -0.588807478298633),0,16.6,55.0,24.09167,9.091667,1.3383332,2.2583334
1522,POINT (36.05547690554129 -0.352807555124568),0,17.483334,66.083336,24.324999,10.633333,1.3966666,2.375
1523,POINT (35.61577619561209 -0.136646943067073),0,15.191667,96.333336,21.45833,8.883334,1.2416667,2.3500001
1524,POINT (36.18274593008217 0.096960655930797),0,19.183334,83.5,26.60833,11.750001,1.4933333,2.425
1525,POINT (36.02494732300571 -0.554777842321917),0,14.375001,75.333336,21.074999,7.691667,1.1991667,2.0416667
1526,POINT (35.98775492085581 -0.672165209220646),0,12.083335,88.666664,18.300001,5.8416667,1.0941666,2.1916668
1527,POINT (36.13849354176379 -0.2522537670001),0,16.775,72.166664,24.041666,9.508333,1.3633336,2.325
1528,POINT (35.596256952054084 -0.484723180025834),0,14.400001,112.25,20.65,8.15,1.2025,2.391667
1529,POINT (35.58719429390668 -0.419439247524263),0,14.208333,113.583336,20.525002,7.9166665,1.1775001,2.4416668
1530,POINT (35.98082909122341 -0.316713599652536),0,16.116667,74.416664,23.458334,8.775001,1.3083333,2.3
1531,POINT (36.460761379048414 -0.744327345504005),0,16.216665,58.416668,23.291666,9.150001,1.33,2.2833335
1532,POINT (36.504614940210104 -0.826702834698466),0,14.750001,75.25,21.783333,7.708334,1.2633333,2.3499997
1533,POINT (36.179340827180276 -0.533635907602601),0,17.275002,54.833332,24.916666,9.616666,1.3725,2.3166664
1534,POINT (35.92891646238696 -0.448940197410892),0,13.725001,91.833336,19.825,7.616667,1.1733333,2.2583334
1535,POINT (36.22157736965578 -0.240603313416565),0,14.491666,86.416664,21.083332,7.8999996,1.2158333,2.325
1536,POINT (35.51638297730698 -0.462333429742118),0,14.741666,128.75,20.766666,8.724999,1.2241668,2.2583334
1537,POINT (36.07136924202415 -0.018881465258692),0,18.408335,83.75,25.716667,11.083333,1.4383334,2.2749999
1538,POINT (36.071705288256666 -0.560894478035401),0,15.841667,62.833332,22.991667,8.691668,1.2858335,2.1166666
1539,POINT (35.6396195344182 -0.304646844713695),0,13.575,102.833336,19.849998,7.2916665,1.1366667,2.341667
1540,POINT (36.3866789469218 -0.612649053442946),0,17.083334,52.666668,24.666666,9.491666,1.3566666,2.2749999
1541,POINT (35.80678239417381 -0.2258221964022),0,16.566666,83.416664,23.4,9.766667,1.3108332,2.3749998
1542,POINT (35.65956859318184 -0.632635307211108),0,14.200001,103.166664,20.358334,8.041667,1.2033334,2.2916667
1543,POINT (36.388813656953346 -0.714960178975108),0,17.091667,50.666668,24.133331,10.041667,1.3716666,2.1499999
1544,POINT (35.79411719926988 -0.226898638233235),0,16.416666,85.083336,23.133331,9.675,1.2991667,2.4666667
1545,POINT (35.511269386054934 -0.412745364258193),0,14.666668,130.33333,20.841665,8.483334,1.2083333,2.1833334
1546,POINT (36.13911584484078 -0.047333844799346),0,17.708334,87.916664,24.983335,10.441667,1.4166666,2.2416666
1547,POINT (35.755621441035764 -0.427129818549832),0,11.625,101.5,17.199999,6.066666,1.0899999,2.225
1548,POINT (36.39319018774451 -0.697641093660878),0,17.124998,51.083332,24.516668,9.733334,1.3708333,2.175
