,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
1943,POINT (38.21597017594571 1.090209641625679),0,25.541664123535156,29.41666603088379,31.366666793823242,19.70833396911621,1.9941668510437012,3.0333335399627686,test
1944,POINT (40.607531842320256 3.676768899773765),0,24.66666603088379,26.33333396911621,30.19166374206543,19.141666412353516,1.8850001096725464,2.549999952316284,test
1945,POINT (39.843151431721566 -2.265554104624298),0,26.500001907348633,58.91666793823242,30.57499885559082,22.44999885559082,2.435833215713501,2.5,test
1946,POINT (35.67876068525368 -0.292937035207681),0,13.208333015441895,104.5,19.55000114440918,6.899999618530273,1.1283334493637085,2.2916667461395264,test
1947,POINT (38.0361324325345 -2.742905738785393),0,22.191667556762695,52.91666793823242,27.46666717529297,16.92500114440918,1.8966666460037231,2.7833330631256104,test
1948,POINT (37.13111931889158 3.064240050701748),0,26.374998092651367,17.0,32.05833053588867,20.700000762939453,1.9366666078567505,2.2750000953674316,test
1949,POINT (36.798541368106044 3.628028222987425),0,27.08333396911621,19.5,33.099998474121094,21.075002670288086,1.966666579246521,2.1083333492279053,test
1950,POINT (39.2683546277611 2.146292221883021),0,27.15833282470703,26.75,32.916664123535156,21.40833282470703,2.066666841506958,2.508333444595337,test
1951,POINT (37.185643419292276 -2.7461778496488),0,21.39166831970215,57.41666793823242,27.708335876464844,15.066668510437012,1.754166603088379,3.133333444595337,test
1952,POINT (39.59314369410014 -0.329445095638311),0,28.524999618530273,27.91666603088379,33.608333587646484,23.408334732055664,2.3033335208892822,2.450000047683716,test
1953,POINT (38.378784639686955 -1.019875811443411),0,24.066667556762695,59.58333206176758,29.375,18.741666793823242,2.0200002193450928,2.575000047683716,test
1954,POINT (40.52297683932115 0.230099569253712),0,28.575002670288086,29.25,33.92499923706055,23.21666717529297,2.3391666412353516,2.741666793823242,test
1955,POINT (38.70434146872021 0.486287574871918),0,25.833330154418945,31.5,31.458335876464844,20.233333587646484,2.065833330154419,2.241666793823242,test
1956,POINT (37.947658057773744 -1.522139313656949),0,22.5,62.58333206176758,27.999998092651367,16.991666793823242,1.8324998617172241,3.016667127609253,test
1957,POINT (35.951294334301785 2.396067674949683),0,27.366668701171875,25.08333396911621,34.766666412353516,19.983333587646484,1.962499976158142,2.433333158493042,test
1958,POINT (36.77037316528882 1.550160624062114),0,20.05000114440918,44.5,26.541664123535156,13.574997901916504,1.588333249092102,2.325000047683716,test
1959,POINT (36.12139440809572 0.148993497922007),0,19.82499885559082,79.16666412353516,27.16666603088379,12.508332252502441,1.5191665887832642,2.3999998569488525,test
1960,POINT (35.656388105306156 -1.346129276561335),0,17.83333396911621,66.83333587646484,24.35833168029785,11.299999237060547,1.37666654586792,2.3916666507720947,test
1961,POINT (40.09515788667622 -2.798092117318417),0,26.066667556762695,78.25,29.96666717529297,22.16666603088379,2.5824999809265137,3.5749998092651367,test
1962,POINT (36.77037316528882 1.550160624062114),0,20.05000114440918,44.5,26.541664123535156,13.574997901916504,1.588333249092102,2.325000047683716,test
1963,POINT (36.075582805654136 -1.980777650662163),0,25.066667556762695,29.58333396911621,31.249998092651367,18.891666412353516,1.90666663646698,2.741666793823242,test
